"Identifikator";"Firma";"Zusatz";"PLZ";"Ort";"Status";"Bemerkung"
"100000 12345";"Alpiq AG";"";"4601";"Olten";"AKTIV";""
"100010 12345";"Technische Betriebe Glarus";"";"8750";"Glarus";"PASSIV";"Ehemals: Elektrizitäts- und Wasserversorgung Ennenda, 8755 Ennenda (bis 2010)"
"100020 12345";"eug Elektra Untergäu";"Genossenschaft";"4616";"Kappel";"AKTIV";""
"100030 12345";"Elektra Widen Betriebs AG";"";"8967";"Widen";"AKTIV";""
"100040 12345";"Gemeinde Männedorf, Energieversorgung";"Elektrizitätswerk";"8708";"Männedorf";"AKTIV";""
"100050 12345";"IB Langenthal AG";"";"4900";"Langenthal";"AKTIV";""
"100060 12345";"Regionalwerke AG Baden";"";"5401";"Baden";"AKTIV";""
"100070 12345";"Technische Betriebe Würenlos";"";"5436";"Würenlos";"AKTIV";""
"100080 12345";"Gemeindewerke Galgenen";"";"8854";"Galgenen";"AKTIV";""
"100090 12345";"die werke versorgung wallisellen ag";"";"8304";"Wallisellen";"AKTIV";""
"100100 12345";"Elektrizitätswerk Rümlang Genossenschaft";"";"8153";"Rümlang";"AKTIV";""
"100110 12345";"Technische Werke Eschlikon";"";"8360";"Eschlikon TG";"AKTIV";""
"100120 12345";"Technische Betriebe Glarus Nord";"";"8752";"Näfels";"PASSIV";"Ehemals: EWN Wasser- und Elektrizitätswerk Niederurnen, 8867 Niederurnen (bis 2010)"
"100130 12345";"Elektrizitätsversorgung Muhen";"";"5037";"Muhen";"AKTIV";""
"100140 12345";"Gemeindewerke Villmergen";"";"5612";"Villmergen";"AKTIV";""
"100150 12345";"Aziende Municipalizzate Stabio - AMS";"Sezione elettricità";"6855";"Stabio";"AKTIV";""
"100160 12345";"tbgs - Technische Betriebe Glarus Süd";"";"8762";"Schwanden";"PASSIV";"Ehemals: Elektrizitätswerk Schwanden, 8762 Schwanden (bis 2010)"
"100170 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"100180 12345";"MFEnergie";"Murg Flums Energie";"8877";"Murg";"AKTIV";""
"100190 12345";"AET Azienda Elettrica Ticinese";"";"6513";"Monte Carasso";"AKTIV";""
"100200 12345";"Elektrizitätsversorgung Lotzwil";"";"4932";"Lotzwil";"AKTIV";""
"100210 12345";"EW Höfe AG";"";"8807";"Freienbach";"AKTIV";""
"100220 12345";"Gemeindewerke Fällanden";"";"8117";"Fällanden";"AKTIV";""
"100230 12345";"Azienda Multiservizi Bellinzona (AMB)";"";"6500";"Bellinzona";"AKTIV";""
"100240 12345";"VO Energies Distribution SA";"";"1350";"Orbe";"PASSIV";"Ehemals: Société Electrique du Châtelard S.A., 1337 Vallorbe (bis 2012)"
"100250 12345";"Elektrizitätswerk Ermatingen";"";"8272";"Ermatingen";"AKTIV";""
"100260 12345";"Technische Betriebe der Gemeinde Sulgen";"";"8583";"Sulgen";"AKTIV";""
"100270 12345";"Forces Motrices de l'Avançon SA";"";"1880";"Bex";"AKTIV";""
"100280 12345";"EW Jaun Energie AG";"";"1656";"Jaun";"AKTIV";""
"100290 12345";"Société Electrique Intercommunale de la Côte SA (SEIC)";"";"1196";"Gland";"AKTIV";""
"100300 12345";"Technische Betriebe Flawil";"Elektrizität";"9230";"Flawil";"AKTIV";""
